Detector	Orientation	Position	Date	Current	MU/min	Bfield	Field_size	Dose1	Dose2	Dose3	Dose_Avg	D_SDOM	Diff_0T	OF	OF_Diff_0T	
BCF-10	perpendicular	Max	2022-09-21 14:46	Reverse	550	0	0.5	0.00	0.00	0.00	43.15	0.00091	1.000	0.457	1.000
BCF-10	perpendicular	Max	2022-09-21 14:42	Reverse		0	1	0.00	0.00	0.00	69.29	0.00157	1.000	0.735	1.000
BCF-10	perpendicular		2022-09-21 14:49	Reverse		0	7	0.00	0.00	0.00	94.32	0.00032	1.000	1.000	1.000
BCF-10	perpendicular	Max	2022-09-21 14:57	Reverse	550	0.2	0.5	44.04	44.11	44.15	44.10	0.00060	1.022	0.457	0.998
BCF-10	perpendicular	Max	2022-09-21 15:02	Reverse		0.2	1	71.10	71.13	71.12	71.12	0.00010	1.026	0.737	1.003
BCF-10	perpendicular		2022-09-21 15:04	Reverse		0.2	7	96.59	96.54	96.52	96.55	0.00018	1.024	1.000	1.000
BCF-10	perpendicular	Max	2022-09-21 15:08	Reverse	550	0.35	0.5	44.52	44.51	44.40	44.48	0.00071	1.031	0.458	1.002
BCF-10	perpendicular	Max	2022-09-21 15:14	Reverse		0.35	1	71.12	71.13	71.10	71.12	0.00010	1.026	0.733	0.998
BCF-10	perpendicular		2022-09-21 15:15	Reverse		0.35	7	97.01	97.07	97.02	97.03	0.00016	1.029	1.000	1.000
BCF-10	perpendicular	Max	2022-09-21 15:19	Reverse	550	0.5	0.5	44.48	44.59	44.44	44.50	0.00082	1.031	0.458	1.000
BCF-10	perpendicular	Max	2022-09-21 15:24	Reverse		0.5	1	71.35	71.33	71.36	71.35	0.00010	1.030	0.733	0.998
BCF-10	perpendicular		2022-09-21 15:26	Reverse		0.5	7	97.32	97.23	97.27	97.27	0.00022	1.031	1.000	1.000
BCF-10	perpendicular	Max	2022-09-21 15:31	Reverse	550	1	0.5	43.62	43.39	43.49	43.50	0.00125	1.008	0.443	0.969
BCF-10	perpendicular	Max	2022-09-21 15:36	Reverse		1	1	70.73	70.72	70.71	70.72	0.00007	1.021	0.721	0.981
BCF-10	perpendicular		2022-09-21 15:38	Reverse		1	7	98.22	98.11	98.12	98.15	0.00029	1.041	1.000	1.000
BCF-10	perpendicular	Max	2022-09-21 15:44	Reverse	550	1.5	0.5	42.72	42.92	42.81	42.82	0.00110	0.992	0.433	0.947
BCF-10	perpendicular	Max	2022-09-21 15:49	Reverse		1.5	1	70.34	70.34	70.31	70.33	0.00012	1.015	0.712	0.969
BCF-10	perpendicular		2022-09-21 15:51	Reverse		1.5	7	98.76	98.87	98.82	98.82	0.00026	1.048	1.000	1.000
BCF-10	perpendicular	Max	2022-09-22 10:14	Forward	550	0	0.5	0.00	0.00	0.00	44.68	0.00141	1.000	0.460	1.000
BCF-10	perpendicular	Max	2022-09-22 10:18	Forward		0	1	0.00	0.00	0.00	71.69	0.00068	1.000	0.738	1.000
BCF-10	perpendicular		2022-09-22 10:20	Forward		0	7	0.00	0.00	0.00	97.17	0.00098	1.000	1.000	1.000
BCF-10	perpendicular	Max	2022-09-22 10:30	Forward	545	0.2	0.5	46.61	46.68	46.72	46.67	0.00056	1.045	0.468	1.017
